,Data,Time,Temp OUT,Hi temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,THW Index,THSW Index,Bar,Rain,Rain Rate,Solar Rad,Solar Energy,Hi Solar Rad,UV Index,UV Dose,Hi UV,Heat D-D,Cool D-D,In Temp,In Hum,In Dew,In Heat,In EMC,In Air Density,ET,Wind Samp,Wind TX,ISS Recept,Arc Int.
862567,12/12/23,00:00,26.4,26.4,26.4,81,22.9,1.3,SSE,0.8,4.5,SSE,26.4,28.8,28.8,28.1,1004.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.5,32,5.8,22.7,6.46,1.1696,0.03,229,2,100.0,10
862568,12/12/23,0:10,26.3,26.4,26.3,81,22.8,0.9,E,0.54,4.9,S,26.3,28.7,28.7,27.9,1004.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.4,31,5.3,22.6,6.27,1.17,0.0,227,2,100.0,10
862569,12/12/23,0:20,26.3,26.4,26.3,82,23.0,0.9,ESE,0.54,3.1,SE,26.3,28.8,28.8,28.1,1004.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.4,33,6.2,22.6,6.57,1.1695,0.0,229,2,100.0,10
862570,12/12/23,0:30,26.3,26.4,26.3,82,23.0,0.9,SE,0.54,3.6,SSE,26.3,28.8,28.8,28.1,1004.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.4,31,5.3,22.5,6.27,1.17,0.0,228,2,100.0,10
862571,12/12/23,0:40,26.3,26.3,26.3,81,22.8,0.9,SE,0.54,4.0,ENE,26.3,28.6,28.6,27.8,1004.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.3,33,6.1,22.5,6.57,1.1696,0.0,228,2,100.0,10
862572,12/12/23,0:50,26.3,26.3,26.3,82,23.0,0.9,SE,0.54,4.5,ESE,26.3,28.7,28.7,27.9,1004.1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.3,31,5.2,22.4,6.27,1.17,0.0,228,2,100.0,10
862573,12/12/23,1:00,26.3,26.3,26.2,82,23.0,1.3,SE,0.8,4.5,ESE,26.3,28.7,28.7,27.9,1004.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.3,33,6.1,22.4,6.57,1.1695,0.03,228,2,100.0,10
862574,12/12/23,1:10,26.3,26.3,26.3,81,22.8,1.3,SE,0.8,5.4,SSE,26.3,28.6,28.6,27.8,1003.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.3,32,5.7,22.4,6.47,1.1697,0.0,228,2,100.0,10
862575,12/12/23,1:20,26.3,26.3,26.3,81,22.8,1.3,ESE,0.8,4.9,S,26.3,28.7,28.7,27.9,1003.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.3,34,6.5,22.5,6.77,1.169,0.0,228,2,100.0,10
862576,12/12/23,1:30,26.3,26.3,26.3,81,22.8,1.3,SE,0.8,4.5,E,26.3,28.7,28.7,27.9,1003.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.3,33,6.1,22.4,6.57,1.1693,0.0,229,2,100.0,10
862577,12/12/23,1:40,26.3,26.3,26.3,80,22.6,0.9,SE,0.54,4.0,SE,26.3,28.6,28.6,27.8,1003.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.2,34,6.5,22.4,6.77,1.1692,0.0,227,2,100.0,10
862578,12/12/23,1:50,26.3,26.3,26.3,80,22.6,1.3,SSE,0.8,5.8,S,26.3,28.6,28.6,27.8,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.2,33,6.0,22.3,6.57,1.1694,0.0,229,2,100.0,10
862579,12/12/23,2:00,26.3,26.4,26.3,80,22.6,1.3,ESE,0.8,5.8,E,26.3,28.6,28.6,27.8,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.2,33,6.0,22.3,6.58,1.1696,0.03,228,2,100.0,10
862580,12/12/23,2:10,26.3,26.3,26.3,80,22.6,1.3,SE,0.8,5.8,SSE,26.3,28.6,28.6,27.8,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.2,33,6.0,22.3,6.57,1.1694,0.0,228,2,100.0,10
862581,12/12/23,2:20,26.3,26.3,26.3,81,22.8,1.3,ESE,0.8,4.5,SSE,26.3,28.7,28.7,27.9,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.1,33,6.0,22.2,6.58,1.1699,0.0,227,2,100.0,10
862582,12/12/23,2:30,26.3,26.3,26.3,80,22.6,1.3,ESE,0.8,5.8,SSE,26.3,28.6,28.6,27.8,1003.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.2,34,6.4,22.3,6.78,1.1694,0.0,228,2,100.0,10
862583,12/12/23,2:40,26.3,26.3,26.3,81,22.8,1.3,SE,0.8,4.5,SE,26.3,28.7,28.7,27.9,1003.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.1,33,6.0,22.2,6.58,1.1701,0.0,227,2,100.0,10
862584,12/12/23,2:50,26.3,26.3,26.3,81,22.8,1.8,SE,1.07,5.4,SSW,26.3,28.7,28.7,27.9,1003.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.056,23.2,34,6.4,22.3,6.78,1.1694,0.0,225,2,100.0,10
862585,12/12/23,3:00,26.3,26.3,26.2,80,22.6,0.9,SE,0.54,4.9,E,26.3,28.5,28.5,27.7,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.1,33,6.0,22.2,6.58,1.1699,0.03,229,2,100.0,10
862586,12/12/23,3:10,26.3,26.3,26.2,81,22.8,1.3,SSE,0.8,4.9,SSE,26.3,28.6,28.6,27.8,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.2,33,6.0,22.3,6.58,1.1697,0.0,228,2,100.0,10
862587,12/12/23,3:20,26.3,26.3,26.2,81,22.8,1.3,SSE,0.8,5.8,E,26.3,28.6,28.6,27.8,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.1,33,6.0,22.2,6.58,1.1699,0.0,227,2,100.0,10
862588,12/12/23,3:30,26.2,26.3,26.2,81,22.7,1.3,SE,0.8,5.4,SE,26.2,28.5,28.5,27.7,1003.7,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.1,34,6.4,22.2,6.78,1.1695,0.0,228,2,100.0,10
862589,12/12/23,3:40,26.2,26.2,26.2,81,22.7,1.8,ESE,1.07,4.5,S,26.2,28.5,28.5,27.7,1003.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.1,33,5.9,22.1,6.58,1.1703,0.0,228,2,100.0,10
862590,12/12/23,3:50,26.2,26.3,26.2,81,22.7,0.9,E,0.54,4.5,ESE,26.2,28.5,28.5,27.7,1003.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.1,34,6.3,22.2,6.78,1.1699,0.0,229,2,100.0,10
862591,12/12/23,4:00,26.2,26.2,26.2,80,22.4,1.3,SE,0.8,4.5,SE,26.2,28.3,28.3,27.5,1003.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.054,23.0,33,5.9,22.0,6.58,1.1705,0.03,228,2,100.0,10
862592,12/12/23,4:10,26.2,26.2,26.2,80,22.5,1.3,SSE,0.8,4.5,E,26.2,28.4,28.4,27.6,1003.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,23.0,34,6.3,22.1,6.78,1.1703,0.0,227,2,100.0,10
862593,12/12/23,4:20,26.2,26.2,26.2,80,22.5,1.3,SE,0.8,4.5,E,26.2,28.4,28.4,27.6,1003.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,22.9,33,5.8,21.9,6.58,1.1709,0.0,229,2,100.0,10
862594,12/12/23,4:30,26.2,26.2,26.2,80,22.4,1.3,E,0.8,5.4,ESE,26.2,28.3,28.3,27.5,1004.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.054,22.9,34,6.2,22.0,6.78,1.1707,0.0,227,2,100.0,10
862595,12/12/23,4:40,26.2,26.2,26.2,81,22.7,1.3,SSE,0.8,4.9,SE,26.2,28.5,28.5,27.7,1004.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,22.9,33,5.8,21.8,6.59,1.1713,0.0,228,2,100.0,10
862596,12/12/23,4:50,26.3,26.3,26.2,81,22.8,1.8,SE,1.07,5.4,ESE,26.3,28.6,28.6,27.8,1004.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,22.8,35,6.6,21.8,6.99,1.1709,0.0,227,2,100.0,10
862597,12/12/23,5:00,26.3,26.3,26.2,79,22.3,1.8,ESE,1.07,7.2,SE,26.3,28.4,28.4,27.6,1004.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.055,22.9,34,6.2,21.9,6.79,1.1713,0.03,228,2,100.0,10
862598,12/12/23,5:10,26.3,26.3,26.2,78,22.1,1.8,SSE,1.07,4.9,SSE,26.3,28.3,28.3,27.6,1004.4,0.0,0.0,8,0.11,12,0.0,0.0,0.0,0.0,0.055,22.9,35,6.6,21.9,6.99,1.1711,0.0,229,2,100.0,10
862599,12/12/23,5:20,26.3,26.3,26.3,79,22.3,1.3,SE,0.8,5.4,ESE,26.3,28.4,28.4,27.8,1004.4,0.0,0.0,20,0.29,25,0.0,0.0,0.0,0.0,0.055,22.9,33,5.8,21.8,6.59,1.1717,0.0,228,2,100.0,10
862600,12/12/23,5:30,26.4,26.4,26.3,80,22.7,1.3,SE,0.8,5.4,ESE,26.4,28.7,28.7,28.5,1004.6,0.0,0.0,46,0.66,77,0.0,0.0,0.0,0.0,0.056,22.9,35,6.6,21.9,6.99,1.1713,0.0,227,2,100.0,10
862601,12/12/23,5:40,26.5,26.5,26.4,79,22.6,1.3,ESE,0.8,4.5,ESE,26.5,28.8,28.8,28.7,1004.5,0.0,0.0,62,0.89,84,0.0,0.0,0.0,0.0,0.057,22.8,34,6.1,21.8,6.79,1.1718,0.0,228,2,100.0,10
862602,12/12/23,5:50,26.9,26.9,26.5,78,22.7,1.3,SE,0.8,4.9,SE,26.9,29.4,29.4,30.3,1004.7,0.0,0.0,133,1.91,172,0.0,0.0,0.0,0.0,0.059,22.8,36,7.0,21.9,7.13,1.1714,0.0,229,2,100.0,10
862603,12/12/23,6:00,27.2,27.2,26.9,77,22.8,1.3,SE,0.8,4.5,SE,27.2,29.9,29.9,31.1,1004.8,0.0,0.0,160,2.29,185,0.0,0.0,0.0,0.0,0.062,22.9,34,6.2,21.9,6.79,1.1718,0.08,227,2,100.0,10
862604,12/12/23,6:10,27.2,27.3,27.2,77,22.8,1.8,SE,1.07,6.7,E,27.2,29.9,29.9,33.8,1004.7,0.0,0.0,194,2.78,265,0.1,0.01,0.5,0.0,0.062,22.8,36,7.0,21.9,7.13,1.1714,0.0,229,2,100.0,10
862605,12/12/23,6:20,27.6,27.6,27.3,76,23.0,1.8,ESE,1.07,4.9,ESE,27.6,30.6,30.6,36.2,1004.9,0.0,0.0,274,3.93,309,0.5,0.04,0.6,0.0,0.064,22.8,34,6.1,21.8,6.79,1.1723,0.0,229,2,100.0,10
862606,12/12/23,6:30,27.4,27.7,27.4,77,23.1,1.3,SE,0.8,4.9,SE,27.4,30.4,30.4,32.7,1004.8,0.0,0.0,113,1.62,176,0.6,0.04,0.7,0.0,0.063,22.8,34,6.1,21.7,6.79,1.1724,0.0,228,2,100.0,10
862607,12/12/23,6:40,27.4,27.6,27.4,78,23.2,1.8,ESE,1.07,5.8,ENE,27.4,30.4,30.4,33.7,1005.1,0.0,0.0,163,2.34,396,0.7,0.05,0.8,0.0,0.063,22.8,35,6.5,21.8,6.99,1.1724,0.0,227,2,100.0,10
